"Plot" "Treeno" "Species" "x" "y" "dbh" "d.end" "baf2" "AGR" "RGR" "AGR.g" "RGR.g" "year" "period" "xmax" "ymax"
"43" "BRO-A-I" 43 1 9.22412217913496 17.019998617757 22.85 NA 0.223403636645236 NA NA NA NA "2005" 4 25 40
"44" "BRO-A-I" 44 1 12.3921092548675 19.7626320033905 24.6 NA 0.173603721291735 NA NA NA NA "2005" 4 25 40
"45" "BRO-A-I" 45 1 13.3718981694905 16.3769470383086 26.5 30.9 0.147401168750917 1.1 0.0384028627278807 0.00495900400369149 0.0768057254557616 "2005" 4 25 40
"46" "BRO-A-I" 46 1 14.0933239911798 12.989677078031 23.45 NA 0.203904508664966 NA NA NA NA "2005" 4 25 40
"47" "BRO-A-I" 47 1 15.7960690451388 16.9168318090312 19.15 NA 0.327762053751896 NA NA NA NA "2005" 4 25 40
"48" "BRO-A-I" 48 1 16.5252724329158 20.1091174195703 31.15 33 0.0919737021291673 0.4625 0.0144233290582545 0.00233022726341502 0.0288466581165091 "2005" 4 25 40
"49" "BRO-A-I" 49 1 17.9983199696592 16.6106098871369 20.65 NA 0.229408608350876 NA NA NA NA "2005" 4 25 40
"50" "BRO-A-I" 50 1 21.698070840231 20.1935368324853 25.25 27.85 0.116877999297781 0.65 0.024501702662981 0.00271080176096629 0.049003405325962 "2005" 4 25 40
"51" "BRO-A-I" 51 1 22.376623639972 17.7727092677949 23.25 NA 0.14520101224523 NA NA NA NA "2005" 4 25 40
"52" "BRO-A-I" 52 1 23.7770011396534 15.4194768401785 16.5 NA 0.25678921689726 NA NA NA NA "2005" 4 25 40
"53" "BRO-A-I" 53 1 24.5783748533068 12.8223766936562 14.25 NA 0.345277123802043 NA NA NA NA "2005" 4 25 40
"54" "BRO-A-I" 54 1 24.6465093846031 20.0391504663089 14.8 16.15 0.290858166697031 0.337499999999999 0.0218232172246491 0.000820397469053844 0.0436464344492979 "2005" 4 25 40
"55" "BRO-A-I" 55 1 23.7995356791898 24.7626639406558 20.45 23.45 0.10815685563071 0.75 0.0342219031008694 0.0025859234529861 0.068443806201739 "2005" 4 25 40
"56" "BRO-A-I" 56 1 17.5575083138689 26.6241814320013 16 18.55 0.363041520782787 0.6375 0.0369702667034157 0.00172988854226809 0.0739405334068315 "2005" 4 25 40
"57" "BRO-A-I" 57 1 16.2000666065391 25.0322762805549 22.15 23.75 0.191153386899946 0.4 0.0174362584973765 0.00144199102799772 0.0348725169947529 "2005" 4 25 40
"58" "BRO-A-I" 58 1 16.5628453974811 22.4444763368106 11.45 NA 0.87595789480822 NA NA NA NA "2005" 4 25 40
"59" "BRO-A-I" 59 1 13.3455878104201 28.0152319963686 28.1 32.25 0.117180168443835 1.0375 0.0344371167255204 0.00491762333795748 0.0688742334510407 "2005" 4 25 40
"60" "BRO-A-I" 60 1 11.3844209424532 27.350963589782 14.7 NA 0.577626163417023 NA NA NA NA "2005" 4 25 40
"61" "BRO-A-I" 61 1 12.0953308847053 24.6582794170638 27.3 30 0.160176072116707 0.675000000000001 0.0235776698678104 0.00303772374648048 0.0471553397356207 "2005" 4 25 40
"62" "BRO-A-I" 62 1 10.9815159457295 25.218957829092 18.95 NA 0.429306524179125 NA NA NA NA "2005" 4 25 40
"63" "BRO-A-I" 63 1 8.90700938169392 25.1028263700785 15.95 17.1 0.410987286286712 0.287500000000001 0.0174049085694402 0.000746275517383213 0.0348098171388803 "2005" 4 25 40
"64" "BRO-A-I" 64 1 7.7501926428218 29.3954265183179 15.4 15.6 0.312790462250091 0.0500000000000003 0.003225851208977 0.000121736715326604 0.00645170241795401 "2005" 4 25 40
